Customer,Program,City,County,Region,Allocation (kW),Jobs Committed,Date
General Motors LLC,Expansion Power,Buffalo,Erie,Western New York,1100,*,10/01/2023
General Motors LLC,Expansion Power,Buffalo,Erie,Western New York,800,*,10/01/2023
General Motors LLC,Replacement Power,Buffalo,Erie,Western New York,600,*,10/01/2023
General Motors LLC,Replacement Power,Buffalo,Erie,Western New York,2000,*,10/01/2023
"Global Abrasive Products, Inc.",Expansion Power,Lockport,Niagara,Western New York,120,30,10/01/2023
"GM Components Holdings, LLC",Expansion Power,Lockport,Niagara,Western New York,7380,*,10/01/2023
"GM Components Holdings, LLC",Expansion Power,Lockport,Niagara,Western New York,10570,*,10/01/2023
"GM Components Holdings, LLC",Replacement Power,Lockport,Niagara,Western New York,3900,"1,449",10/01/2023
Graphic Controls Acquisition Corp.,Expansion Power,Buffalo,Erie,Western New York,130,*,10/01/2023
Graphic Controls Acquisition Corp.,Replacement Power,Buffalo,Erie,Western New York,334,*,10/01/2023
Graphic Controls Acquisition Corp.,Replacement Power,Buffalo,Erie,Western New York,250,*,10/01/2023
Graphic Controls Acquisition Corp.,Replacement Power,Buffalo,Erie,Western New York,120,318,10/01/2023
Graphic Controls Acquisition Corp.,Replacement Power,Buffalo,Erie,Western New York,550,*,10/01/2023
Greatbatch Inc,Expansion Power,Alden,Erie,Western New York,1500,333,10/01/2023
"Greenpac Mill, LLC",Replacement Power,Niagara Falls,Niagara,Western New York,10000,108,10/01/2023
"Greenpac Mill, LLC",Replacement Power,Niagara Falls,Niagara,Western New York,12500,*,10/01/2023
"Habasit America, Inc.",Replacement Power,Buffalo,Erie,Western New York,200,55,10/01/2023
"Habasit America, Inc.",Replacement Power,Buffalo,Erie,Western New York,440,*,10/01/2023
Hammond Manufacturing Company Inc.,Replacement Power,Cheektowaga,Erie,Western New York,100,24,10/01/2023
Honeywell International,Replacement Power,Buffalo,Erie,Western New York,300,132,10/01/2023
"Hurtubise Tire, Inc.",Replacement Power,North Tonawanda,Niagara,Western New York,100,10,10/01/2023
"Hurtubise Tire, Inc.",Replacement Power,North Tonawanda,Niagara,Western New York,100,*,10/01/2023
"Hydro-Air Components, Inc.",Expansion Power,Buffalo,Erie,Western New York,250,100,10/01/2023
"I Squared R Element Co., Inc.",Replacement Power,Akron,Erie,Western New York,500,*,10/01/2023
"I Squared R Element Co., Inc.",Replacement Power,Akron,Erie,Western New York,400,79,10/01/2023
"I Squared R Element Co., Inc.",Replacement Power,Akron,Erie,Western New York,1300,*,10/01/2023
"Imerys Fused Minerals Niagara Falls, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,400,35,10/01/2023
"Ingram Micro, Inc.",Expansion Power,Williamsville,Erie,Western New York,130,*,10/01/2023
"Ingram Micro, Inc.",Expansion Power,Williamsville,Erie,Western New York,900,"1,600",10/01/2023
Innomotive Solutions Group LLC,Replacement Power,Lancaster,Erie,Western New York,100,21,10/01/2023
Innomotive Solutions Group LLC,Replacement Power,Lancaster,Erie,Western New York,420,*,10/01/2023
International Imaging Materials,Expansion Power,Amherst,Erie,Western New York,1000,*,10/01/2023
International Imaging Materials,Expansion Power,Amherst,Erie,Western New York,1250,*,10/01/2023
International Imaging Materials,Replacement Power,Amherst,Erie,Western New York,250,*,10/01/2023
International Imaging Materials,Replacement Power,Amherst,Erie,Western New York,200,*,10/01/2023
International Imaging Materials,Replacement Power,Amherst,Erie,Western New York,200,358,10/01/2023
"Kreher's Sunrise Farm, LLC",Replacement Power,Basom,Genesee,Finger Lakes,100,25,10/01/2023
Lake Mariner Data LLC,Replacement Power,Barker,Niagara,Western New York,10000,165,10/01/2023
Linde Inc.,Expansion Power,Niagara Falls,Niagara,Western New York,1950,*,10/01/2023
Linde Inc.,Replacement Power,Niagara Falls,Niagara,Western New York,8750,*,10/01/2023
Linde Inc.,Replacement Power,Niagara Falls,Niagara,Western New York,35900,*,10/01/2023
Linde Inc.,Replacement Power,Niagara Falls,Niagara,Western New York,22000,92,10/01/2023
Linde Inc.,Expansion Power,Tonawanda,Erie,Western New York,1950,*,10/01/2023
Linde Inc.,Replacement Power,Tonawanda,Erie,Western New York,1950,"1,113",10/01/2023
Linde Inc.,Replacement Power,Tonawanda,Erie,Western New York,750,*,10/01/2023
Lockheed Martin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,180,*,10/01/2023
Lockheed Martin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,200,20,10/01/2023
"LW1 Operator, LLC",Expansion Power,Buffalo,Erie,Western New York,2930,75,10/01/2023
M&T Bank,Expansion Power,Amherst,Erie,Western New York,1050,"4,281",10/01/2023
"Maclean Curtis, LLC",Replacement Power,Buffalo,Erie,Western New York,280,*,10/01/2023
"Maclean Curtis, LLC",Replacement Power,Buffalo,Erie,Western New York,320,*,10/01/2023
"Maclean Curtis, LLC",Replacement Power,Buffalo,Erie,Western New York,1000,138,10/01/2023
"Mahle Behr Troy, Inc.",Replacement Power,Lockport,Erie,Western New York,70,*,10/01/2023
"Mahle Behr Troy, Inc.",Expansion Power,Lockport,Erie,Western New York,500,*,10/01/2023
"Mahle Behr Troy, Inc.",Replacement Power,Lockport,Erie,Western New York,1000,154,10/01/2023
Mayer Bros. Apple Products Inc.,Expansion Power,West Seneca,Erie,Western New York,200,134,10/01/2023
Mayer Bros. Apple Products Inc.,Replacement Power,Barker,Niagara,Western New York,200,111,10/01/2023
Messer LLC - Buffalo Facility,Expansion Power,Buffalo,Erie,Western New York,10500,38,10/01/2023
MOD-PAC Corp.,Expansion Power,Buffalo,Erie,Western New York,400,347,10/01/2023
MOD-PAC Corp.,Expansion Power,Buffalo,Erie,Western New York,150,*,10/01/2023
"Moldtech, Inc.",Expansion Power,Lancaster,Erie,Western New York,100,65,10/01/2023
"Moldtech, Inc.",Expansion Power,Lancaster,Erie,Western New York,100,*,10/01/2023
"Mono-Systems, Inc.",Expansion Power,Buffalo,Erie,Western New York,180,95,10/01/2023
Moog Inc.,Replacement Power,East Aurora,Erie,Western New York,4000,"3,224",10/01/2023
Moog Inc.,Expansion Power,East Aurora,Erie,Western New York,750,*,10/01/2023
Moog Inc.,Expansion Power,East Aurora,Erie,Western New York,3000,*,10/01/2023
Moog Inc.,Expansion Power,East Aurora,Erie,Western New York,500,*,10/01/2023
Moog Inc.,Expansion Power,East Aurora,Erie,Western New York,300,*,10/01/2023
Moog Inc.,Replacement Power,East Aurora,Erie,Western New York,800,*,10/01/2023
Moog Inc.,Expansion Power,East Aurora,Erie,Western New York,1690,*,10/01/2023
Nestle Purina PetCare Company,Expansion Power,Dunkirk,Chautauqua,Western New York,500,*,10/01/2023
Nestle Purina PetCare Company,Expansion Power,Dunkirk,Chautauqua,Western New York,900,*,10/01/2023
Nestle Purina PetCare Company,Expansion Power,Dunkirk,Chautauqua,Western New York,2000,*,10/01/2023
Nestle Purina PetCare Company,Expansion Power,Dunkirk,Chautauqua,Western New York,500,419,10/01/2023
Nestle Purina PetCare Company,Expansion Power,Dunkirk,Chautauqua,Western New York,1020,*,10/01/2023
Niacet Corporation,Expansion Power,Niagara Falls,Niagara,Western New York,500,*,10/01/2023
Niacet Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,500,*,10/01/2023
Niacet Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,1000,*,10/01/2023
Niacet Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,400,*,10/01/2023
